source,property_id,price,location,size_sqft,year_built,bedrooms,bathrooms,lot_size,property_type,school_score,rental_estimate,price_history,walk_score,transit_score,bike_score
RealtyUS,3531877877,3800.0,"Boston, MA",9999.0,nan,4.0,1.0,9999.0,apartment,2.2,3350.0,"2025-02-06: 3800, 2025-01-07: 4000, 2019-02-26: 3200, 2018-04-03: 2800, 2017-12-18: 2800",N/A,N/A,N/A
RealtyUS,4604816393,4200.0,"Boston, MA",1600.0,nan,5.0,2.0,9999.0,apartment,2.363636363636364,3350.0,"2025-01-07: 4200, 2024-08-03: 4950, 2024-07-18: 4950, 2024-07-01: 5330, 2024-06-28: 0, 2024-06-27: 5330, 2022-07-07: 0, 2022-07-07: 0, 2022-07-06: 4850, 2022-04-27: 0, 2022-04-20: 4850, 2022-04-20: 0, 2022-04-19: 0, 2022-04-19: 4850, 2022-04-11: 4850, 2015-04-13: 3200, 2015-03-02: 3800, 2015-02-20: 3800, 2015-02-18: 3800, 2015-02-10: 3800, 2015-02-05: 3800, 2015-01-26: 3800, 2015-01-19: 3800, 2015-01-14: 3800, 2015-01-14: 3000, 2015-01-06: 3200, 2015-01-06: 3000",N/A,N/A,N/A
RealtyUS,9216190857,3100.0,"Boston, MA",1000.0,1905.0,2.0,1.0,2900.0,apartment,1.7,3350.0,"2025-01-07: 3100, 2024-03-30: 2950, 2024-03-21: 2950",N/A,N/A,N/A
RealtyUS,9614743031,3100.0,"Boston, MA",9999.0,nan,3.0,1.0,9999.0,apartment,2.1,3350.0,"2025-02-05: 3100, 2025-01-07: 3200, 2024-12-11: 3000, 2023-08-11: 0, 2023-06-27: 2700, 2021-04-22: 0, 2021-04-17: 2600, 2019-06-03: 0, 2019-05-11: 2600, 2019-05-09: 0, 2019-03-16: 2600, 2016-02-23: 2000, 2016-02-10: 2000",N/A,N/A,N/A
RealtyUS,9139130379,2700.0,"Boston, MA",1200.0,nan,3.0,1.0,99999995.0,apartment,2.4545454545454546,3350.0,"2025-03-03: 2700, 2025-02-15: 2700, 2025-01-07: 2700, 2025-01-06: 2805, 2023-09-08: 2400, 2023-08-30: 0, 2023-08-10: 2400, 2023-08-01: 2500, 2023-07-31: 0, 2023-07-12: 2500, 2023-06-17: 2600, 2023-06-11: 2600, 2021-11-11: 2250, 2021-10-28: 2250, 2021-10-13: 2250, 2021-08-20: 2250, 2021-05-25: 2450",N/A,N/A,N/A
RealtyUS,9112729039,4800.0,"Boston, MA",9999.0,nan,4.0,2.0,9999.0,condos,1.7,3350.0,"2025-02-04: 4800, 2025-01-06: 4900, 2022-06-30: 4200, 2022-05-06: 4200, 2022-04-29: 4200",N/A,N/A,N/A
RealtyUS,9911891895,4600.0,"Boston, MA",9999.0,nan,4.0,2.0,9999.0,condos,1.7,3350.0,"2025-02-04: 4600, 2025-01-06: 4700, 2024-04-02: 0, 2024-01-03: 4900, 2023-09-11: 4800, 2022-09-27: 3900, 2022-08-29: 3900, 2022-05-04: 4200, 2022-04-29: 4100",N/A,N/A,N/A
RealtyUS,4855402159,4000.0,"Boston, MA",9999.0,nan,3.0,2.0,9999.0,condos,1.7,3350.0,"2025-02-04: 4000, 2025-01-06: 4075, 2023-09-02: 3900, 2022-06-30: 3600, 2022-05-06: 3600, 2022-04-29: 3600, 2017-10-27: 1999, 2017-10-16: 2000, 2017-10-16: 1999, 2017-10-15: 2000, 2017-09-29: 2100, 2017-09-22: 2385, 2017-09-17: 2400",N/A,N/A,N/A
RealtyUS,9760812168,3750.0,"Boston, MA",1082.0,nan,3.0,2.0,9999.0,apartment,2.0,3350.0,2025-01-06: 3750,N/A,N/A,N/A
RealtyUS,9300186861,2500.0,"Boston, MA",1150.0,nan,2.0,1.0,9999.0,apartment,2.2,3350.0,"2025-01-05: 2500, 2025-01-01: 2500, 2024-11-01: 2450, 2024-10-14: 2450, 2024-09-06: 2500, 2024-08-21: 2450, 2023-09-22: 2450, 2023-09-07: 2450",N/A,N/A,N/A
RealtyUS,9514227989,2850.0,"Boston, MA",1270.0,1900.0,3.0,1.0,9999.0,apartment,2.2,3350.0,"2025-02-11: 2850, 2025-01-10: 2900, 2025-01-04: 3200, 2023-09-05: 2800, 2023-08-07: 2800, 2023-07-28: 3000, 2023-06-30: 2800, 2023-06-24: 2800, 2023-01-31: 2600, 2022-11-18: 2600, 2022-10-27: 2900, 2022-10-26: 3200, 2022-10-03: 3200, 2022-09-25: 3500, 2022-09-11: 3600, 2022-08-31: 3900",N/A,N/A,N/A
RealtyUS,9420978107,4000.0,"Boston, MA",9999.0,nan,4.0,1.0,9999.0,apartment,1.7,3350.0,"2025-01-03: 4000, 2022-12-22: 0, 2022-12-21: 3375, 2021-04-22: 0, 2021-04-17: 3000",N/A,N/A,N/A
RealtyUS,4379180864,3600.0,"Boston, MA",9999.0,nan,3.0,1.0,9999.0,condos,2.2,3350.0,"2025-02-06: 3600, 2025-01-02: 3800, 2023-04-09: 3600, 2019-02-26: 3000, 2017-05-13: 2700, 2017-02-20: 2700",N/A,N/A,N/A
RealtyUS,4159162678,3600.0,"Boston, MA",9999.0,nan,3.0,1.0,9999.0,condos,2.2,3350.0,"2025-02-06: 3600, 2025-01-02: 3800, 2019-06-03: 0, 2019-05-11: 3000, 2019-05-09: 0, 2019-03-14: 3000, 2019-02-26: 3000, 2016-05-13: 2600, 2016-03-08: 2600",N/A,N/A,N/A
