LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE,RENT_FEE_INCLUDES_RN
73280469,8/21/24,,78 spencer st U:2,2,,,2500,2500,2500,950,,9/11/24,9/11/24,Water
73280472,8/21/24,,12 Pond Ln U:44,1,,,2200,2200,2500,724,,9/19/24,9/19/24,"Heat, Hot Water, Water"
73280476,8/21/24,,18 Eddy Street U:1,2,No,,2800,2800,2800,1300,,9/28/24,9/28/24,"Water, Grounds Maintenance, Extra Storage, Laundry Facilities, Parking "
73280479,8/21/24,,20 Garfield St U:1,3,,,2300,2300,2300,847,,9/9/24,9/9/24,"Water, Refuse Removal"
73280500,8/21/24,,26 Gould St U:A,2,No,Stoneham High,2700,2700,2700,800,,8/29/24,8/29/24,"Grounds Maintenance, Laundry Facilities, Parking "
73280510,8/21/24,,283 Lowell Avenue U:1,2,,Newton North,2500,2500,2700,1200,,10/15/24,10/6/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Extra Storage, Parking "
73280511,8/21/24,,391 Crescent St U:1,2,,,2800,2800,3000,1250,,9/19/24,9/19/24,"Hot Water, Water, Sewerage Disposal, Snow Removal"
73280513,8/21/24,,656 Grove St U:0,3,,,3400,3400,3400,1800,,9/3/24,9/3/24,"Heat, Hot Water, Electric, Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Laundry Facilities, Parking , Internet"
73280514,8/21/24,,1461 Pawtucket Blvd U:D11,2,,,2550,2500,2600,1200,,10/4/24,10/4/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Grounds Maintenance"
73280520,8/21/24,,5 Braemore Rd U:8,1,No,,2400,2400,2400,500,,9/7/24,9/7/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73280529,8/21/24,,10 Sterling St. U:3,2,,,1950,1950,2000,1000,,10/25/24,10/18/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance"
73280530,8/21/24,,144 Washington Street U:3,2,No,,2400,2400,2600,900,,10/4/24,10/4/24,"Refuse Removal, Laundry Facilities, Parking "
73280548,8/24/24,,160 Strathmore U:23,1,,,1900,1900,2300,650,,2/19/25,2/19/25,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance"
73280551,8/21/24,,959 Dorchester Ave U:404,1,No,,2430,2430,2430,689,,9/12/24,9/11/24,Refuse Removal
73280553,8/21/24,,90 kilsyth Rd U:32,1,,,2395,2395,2475,639,,8/28/24,8/28/24,"Heat, Hot Water"
73280563,8/21/24,,147-149 Clara Street U:# 1,3,No,,2150,2150,2150,1400,,9/13/24,9/13/24,"Water, Sewerage Disposal, Refuse Removal, Occupancy Only"
73280567,8/21/24,,91 Second St U:2,3,,,3300,3300,3300,1500,,9/17/24,9/17/24,"Water, Sewerage Disposal"
73280584,8/21/24,,10 West Side Dr U:.,3,,AB High School,3900,3900,4000,2542,,10/8/24,10/8/24,"Extra Storage, Parking "
73280589,8/21/24,,114 Strathmore Rd U:203,1,,,2200,2100,2300,558,,12/31/24,12/30/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73280601,8/23/24,,106 Geneva Ave U:#02,4,No,,3500,3500,3500,1250,,9/22/24,9/22/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Laundry Facilities"
73280612,8/22/24,,55 Franklin St U:1,3,No,,3500,3500,3500,1400,,9/24/24,9/24/24,"Water, Sewerage Disposal, Refuse Removal"
73280613,8/22/24,,23 Myrtle Street U:1/F,3,No,N. Quincy High,2730,2730,2800,1200,,11/29/24,11/29/24,Water
73280625,8/22/24,,4 Grove St. U:1,1,No,,1495,1495,1395,700,,9/10/24,9/10/24,"Heat, Hot Water, Water, Sewerage Disposal, Grounds Maintenance"
73280627,8/22/24,,103 w 4th U:1,0,,,2050,2100,2100,350,,9/23/24,9/16/24,"Heat, Hot Water, Electric"
73280631,8/22/24,,26 Commonwealth Ter U:1,1,,,2000,2000,2000,450,,8/30/24,8/30/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73280638,8/21/24,,53 Aspinwall Rd U:1,3,No,,2600,2600,2800,1100,,11/1/24,11/1/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage"
73280641,8/22/24,,2 Hilltop ln U:4,2,,Oliver Ames,2300,2300,2300,1188,,10/1/24,9/18/24,Water
73280643,8/22/24,,100 Webster St U:2,2,No,,3400,3350,3350,1000,,9/1/24,9/1/24,"Water, Sewerage Disposal"
73280656,8/22/24,,28 Ninth St U:504,2,No,Medford,3000,3000,3000,1128,,9/7/24,8/27/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Tennis Court, Swimming Pool, Extra Storage, Clubroom, Parking "
73280667,8/22/24,,431 Adams Street U:4,1,,,1950,1950,1950,800,,9/4/24,8/30/24,"Water, Sewerage Disposal"
73280677,8/22/24,,515 walnut st U:2,2,,,2400,2750,2750,999,,9/1/24,9/1/24,"Water, Sewerage Disposal, Parking "
